instance,alpha,num_iterations,score,time
dat/project.4.dat,0.8,8,4.44212e-43,0.107641
dat/project.4.dat,0.8,9,4.44212e-43,0.115862
dat/project.4.dat,0.8,10,4.44212e-43,0.131577
dat/project.4.dat,1,1,4.44212e-43,0.0156968
dat/project.4.dat,1,2,4.44212e-43,0.0241907
dat/project.4.dat,1,3,4.44212e-43,0.040877
dat/project.4.dat,1,4,4.44212e-43,0.0568001
dat/project.4.dat,1,5,4.44212e-43,0.0732786
dat/project.4.dat,1,6,4.44212e-43,0.0816122
dat/project.4.dat,1,7,4.44212e-43,0.0987067
dat/project.4.dat,1,8,4.44212e-43,0.106339
dat/project.4.dat,1,9,4.44212e-43,0.122704
dat/project.4.dat,1,10,4.44212e-43,0.138807
dat/project.5.dat,0,1,4.3,0.0160639
dat/project.5.dat,0,2,4.3,0.0344631
dat/project.5.dat,0,3,4.3,0.0493008
dat/project.5.dat,0,4,4.3,0.0654155
dat/project.5.dat,0,5,4.3,0.0817906
dat/project.5.dat,0,6,4.3,0.0980207
dat/project.5.dat,0,7,4.3,0.114493
dat/project.5.dat,0,8,4.3,0.131309
dat/project.5.dat,0,9,4.3,0.147426
dat/project.5.dat,0,10,4.3,0.156233
dat/project.5.dat,0.2,1,4.3,0.0168404
dat/project.5.dat,0.2,2,4.3,0.0323211
dat/project.5.dat,0.2,3,4.3,0.0486798
dat/project.5.dat,0.2,4,4.3,0.0649665
dat/project.5.dat,0.2,5,4.3,0.0733402
dat/project.5.dat,0.2,6,4.3,0.0898967
dat/project.5.dat,0.2,7,4.3,0.106171
dat/project.5.dat,0.2,8,4.3,0.122315
dat/project.5.dat,0.2,9,4.3,0.139126
dat/project.5.dat,0.2,10,4.3,0.159104
dat/project.5.dat,0.4,1,4.3,0.0129674
dat/project.5.dat,0.4,2,4.3,0.0376479
dat/project.5.dat,0.4,3,4.3,0.0546841
dat/project.5.dat,0.4,4,4.3,0.0702049
dat/project.5.dat,0.4,5,4.3,0.0863334
dat/project.5.dat,0.4,6,4.3,0.103447
dat/project.5.dat,0.4,7,4.3,0.119455
dat/project.5.dat,0.4,8,4.3,0.135673
dat/project.5.dat,0.4,9,4.3,0.151831
dat/project.5.dat,0.4,10,4.3,0.16772
dat/project.5.dat,0.6,1,4.3,0.016383
dat/project.5.dat,0.6,2,4.3,0.0327902
dat/project.5.dat,0.6,3,4.3,0.0492464
dat/project.5.dat,0.6,4,4.3,0.0655449
dat/project.5.dat,0.6,5,4.3,0.0738699
dat/project.5.dat,0.6,6,4.3,0.0902383
dat/project.5.dat,0.6,7,4.3,0.106684
dat/project.5.dat,0.6,8,4.3,0.122937
dat/project.5.dat,0.6,9,4.3,0.14014
dat/project.5.dat,0.6,10,4.3,0.156004
dat/project.5.dat,0.8,1,4.3,0.0160781
dat/project.5.dat,0.8,2,4.3,0.0325934
dat/project.5.dat,0.8,3,4.3,0.0487626
dat/project.5.dat,0.8,4,4.3,0.0655874
dat/project.5.dat,0.8,5,4.3,0.0817348
dat/project.5.dat,0.8,6,4.3,0.0979064
dat/project.5.dat,0.8,7,4.3,0.114397
dat/project.5.dat,0.8,8,4.3,0.130038
dat/project.5.dat,0.8,9,4.3,0.147131
dat/project.5.dat,0.8,10,4.3,0.163632
dat/project.5.dat,1,1,4.3,0.0167019
dat/project.5.dat,1,2,4.3,0.0332905
dat/project.5.dat,1,3,4.3,0.0500384
dat/project.5.dat,1,4,4.3,0.0667318
dat/project.5.dat,1,5,4.3,0.0833004
dat/project.5.dat,1,6,4.3,0.0988812
dat/project.5.dat,1,7,4.3,0.115156
dat/project.5.dat,1,8,4.3,0.131534
dat/project.5.dat,1,9,4.3,0.147674
dat/project.5.dat,1,10,4.3,0.15633
dat/project.6.dat,0,1,5.5,0.0085163
dat/project.6.dat,0,2,5.5,0.0250114
dat/project.6.dat,0,3,5.5,0.0411666
dat/project.6.dat,0,4,5.5,0.057684
dat/project.6.dat,0,5,5.5,0.0751657
dat/project.6.dat,0,6,5.5,0.0909836
dat/project.6.dat,0,7,5.5,0.107478
dat/project.6.dat,0,8,5.5,0.12388
dat/project.6.dat,0,9,5.5,0.140223
dat/project.6.dat,0,10,5.5,0.156601
dat/project.6.dat,0.2,1,5.5,0.0166069
dat/project.6.dat,0.2,2,5.5,0.0329309
dat/project.6.dat,0.2,3,5.5,0.0417942
dat/project.6.dat,0.2,4,5.5,0.0577331
dat/project.6.dat,0.2,5,5.5,0.0740429
dat/project.6.dat,0.2,6,5.5,0.0930155
dat/project.6.dat,0.2,7,5.5,0.106923
